ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20220113102726NAL0010179185001,2020-04-01,2021-03-31,002,042587894,0,0,0,48000,2474880,-2426880,202649,,,,-2579267,-2376618,,,,,50262,50262,-2426880,,2,,2,,2,,1,48000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,48000,2,1,2,,2,2,2,,,,,,,,,,,,,
20211014101924NAL0027666688001,2020-01-01,2020-12-31,002,208135911,6854000,460891,6393109,5720500,473059,5247441,32500,,,,-1166000,-1133500,,,,,12168,12168,-1145668,,2,,2,,2,,1,5688000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,5688000,2,1,2,,2,,2,,,,,,,,,,,,,
20211014105927NAL0011922787001,2020-01-01,2020-12-31,003,043347358,7370000,5376105,1993895,6210000,4881324,1328676,395669,,,,-676624,-280955,126696,,,,257568,384264,-665219,,2,,2,,2,,1,6210000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,6210000,2,1,2,,2,,2,,,,,,,,,,,,,
20210614112032NAL0010687633001,2020-01-01,2020-12-31,002,041203530,11473930,0,11473930,13607784,0,13607784,675858,,,,2114048,2789906,130074,,,,120,130194,2659712,-525858,2,,2,,2,,1,12976967,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,12976967,2,1,2,,2,,2,,,,,,,,,,,,,
20211014113212NAL0015692563001,2020-01-01,2020-12-31,002,043533865,609216,233585,375631,1039826,0,1039826,242060,,,,442933,684993,12323,,,,8475,20798,664195,,2,,2,,2,,1,963900,2,,2,,2,,2,,2,,2,,2,,1,75000,2,,2,,2,,1,963900,2,1,2,,2,,2,,,,,,,,,,,,,
20210421132306NAL0001539329001,2020-01-01,2020-12-31,001,042444641,5654862,,5654862,6738448,,6738448,453578,,,,837699,1291277,207691,,,,,207691,1083586,,2,,2,,2,,1,6486528,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,6486528,2,1,2,,2,,2,,,,,,,,,,,,,
20210422073413NAL0003188448001,2020-01-01,2020-12-31,004,042272126,15076573,2235500,12841073,19966894,1702932,18263962,1084460,,,,5407348,6491808,1017028,,,,51891,1068919,5422889,,2,,2,,2,,1,18812400,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,18812400,2,1,2,,2,,2,,,,,,,,,,,,,
20210615073038NAL0000655954001,2020-01-01,2020-12-31,002,043035339,2695415,15,2695400,3096675,15,3096660,,,,,401270,401270,,,,10,,10,401260,,2,,2,,2,,1,3093779,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,3093779,2,1,2,,2,,2,,,,,,,,,,,,,
20210610162027NAL0013159346001,2020-01-01,2020-12-31,002,042804642,3145296,806903,2338393,2423096,533003,1890093,431818,,,,-722200,-290382,122964,,,,34954,157918,-448300,,2,,2,,2,,1,2422365,2,,2,,2,,2,,2,,2,,2,,1,400000,2,,2,,2,,1,2422365,2,1,2,,2,,2,,,,,,,,,,,,,
20210606123344NAL0001830947001,2020-07-01,2021-06-04,001,042298684,3705053,0,3705053,0,0,0,,,,,447923,447923,4152976,,,,,4152976,-3705053,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,2,,1,1,2,,2,,1,0,,,,,,,,,,,,
