ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER,ACCT_PERF_LTD_AUDIT_103_8_IND,ACCT_PERF_LTD_AUDIT_103_12_IND,ACCT_PERF_NOT_LTD_AUDIT_IND,SALARIES_ALLOWANCES_AMT,OTH_RECORDKEEPING_FEES_AMT,IQPA_AUDIT_FEES_AMT,TRUSTEE_CUSTODIAL_FEES_AMT,ACTUARIAL_FEES_AMT,LEGAL_FEES_AMT,VALUATION_APPRAISAL_FEES_AMT,OTHER_TRUSTEE_FEES_EXPENSES_AMT
20210729091443NAL0010053601001,2020-01-01,2020-12-31,002,471008886,114,9021,,0,0,,,,,,,,,,,,,,,,,79600000,,,79609135,,,960745,,960745,78648390,575,4111,,0,0,,,,,,,,,,,,,,,,,81390000,,,81394686,,,919933,,919933,80474753,209820,,,,209820,,,,,,,0,,,,0,,,,0,,1790000,1790000,,,,,,,1999820,133137,,,133137,,,40320,,,,,0,173457,1826363,,,1,,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,0,0,1,,,,,,,,
20210729103249NAL0013978928001,2020-01-01,2020-12-31,003,844259761,0,,,,,,,,,,,,,,,,,,,,,177935000,,,177935000,,,29013270,,29013270,148921730,0,,,,,,,,,,,,,,,,,,,,,168957500,,,168957500,,,35389988,,35389988,133567512,1909954,,,,1909954,,,,,,,0,,,,0,,,,0,,-9256498,-9256498,,,,,,,-7346544,7115898,,,7115898,,,891776,,,,,0,8007674,-15354218,,,1,,"BDO USA, LLP",135381590,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,
20210726134849NAL0008865152001,2020-01-01,2020-12-31,002,043175021,237772,0,,,9231,,,,,833840,,,,,,,,,537475,,,2103888,,,3722206,,,345116,16851,361967,3360239,211850,7963,,,5453,,,,,0,,,,,,,,,1877488,,,2273787,,,4376541,,,251288,0,251288,4125253,308295,,,,308295,,,,,,,0,,,46227,46227,,,,0,,169899,169899,,,,,166804,220430,911655,124687,,,124687,,,10492,,,11462,,11462,146641,765014,,,1,,SULLIVAN & FOLAN LLC,043252952,,2,,2,,2,,2,,1,437654,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,
20211006121631NAL0010431905001,2020-01-01,2020-12-31,001,364488912,,1691513,,,100949,,,,,,,,,,,,,,,,109,11601186,,,13393757,,,12444495,296997,12741492,652265,,1699901,,,45122,,,,,,,,,,,,,,,,1,13121547,,,14866571,,,11035569,263500,11299069,3567502,1699901,,,,1699901,296,,,,,,296,,94140,,94140,,,,0,,1520361,1520361,,,,,,,3314698,82818,,,82818,,,316193,,450,,,450,399461,2915237,,,1,,CITRIN COOPERMAN & COMPANY LLP,222428965,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,
20210928143833NAL0002407392001,2020-01-01,2020-12-31,002,042550058,187783,,,,30788,,,,,,,,,,,,,,,,,3178561,,,3397132,14543,,95218,,109761,3287371,90810,,,,30793,,,,,,,,,,,,,,,,,3712089,,,3833692,14543,,0,,14543,3819149,286716,,,,286716,5,,,,,,5,,,,0,,,,0,,533527,533527,,,,,,,820248,286715,,,286715,,,1519,,,,236,236,288470,531778,,,1,,"O'CONNOR AND DREW, P.C.",043000523,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,0,,,,,,,,
20210721121829NAL0001726289001,2020-01-01,2020-12-31,003,041123740,,,,203400,,,,,,,,,,,,,,,757121,,,7984725,,,8945246,,,,528524,528524,8416722,,,,189400,,,,,,,,,,,,,,,574775,,,9023802,,,9787977,,,,338614,338614,9449363,,,,,,,,,,,,,,192345,,192345,,,,,,1039305,1039305,,,,,,,1231650,188584,,,188584,,,10425,,,,,,199009,1032641,,,1,,"PKF, PC",043138777,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,,,1,,,,,,,,
20210726144649NAL0004351539001,2020-01-01,2020-12-31,003,043067724,,0,0,0,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,243682034,,,243682034,,,,149440083,149440083,94241951,1000000,0,0,0,1000000,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,94275514,94275514,0,0,0,0,0,0,95275514,0,0,0,0,0,,1033563,0,0,0,0,0,1033563,94241951,0,,1,,"WOLF & COMPANY, P.C.",042689883,,2,0,2,0,2,0,2,0,1,30000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,
20210802102918NAL0023580610001,2020-01-01,2020-12-31,003,731627673,,0,0,0,1193816,,,,,,,,,,,,,,,,,16268749,,,17462565,0,0,0,5717409,5717409,11745156,,0,0,0,1205888,,,,,,,,,,,,,,,,,11644899,,,12850787,,,,5029877,5029877,7820910,1022358,0,0,0,1022358,5994,0,0,0,,0,5994,0,338627,0,338627,0,0,0,0,0,-4595773,-4595773,0,0,0,0,-45316,0,-3274110,192743,0,0,192743,0,,457393,0,0,0,0,0,650136,-3924246,0,,1,,"WOLF & COMPANY, P.C.",042689883,,2,0,2,0,2,0,2,0,1,8000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,
20210805104214NAL0002159505001,2020-01-01,2020-12-31,002,042821431,,2250000,0,0,96088,,,,,,,,,,,,,,,,,16230600,,,18576688,0,0,0,0,0,18576688,,600000,0,0,174395,,,,,,,,,,,,,,,,,18463950,,,19238345,,,,,0,19238345,600000,0,0,0,600000,539,0,0,0,,0,539,0,0,0,0,0,0,0,0,0,2233351,2233351,0,0,0,0,0,0,2833890,2001444,0,0,2001444,0,,0,0,0,0,0,0,2001444,832446,0,170789,3,,"DICICCO, GULMAN & COMPANY LLP",043296226,,2,0,2,0,2,0,2,0,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,1,,,,,,,,,
20211007140741NAL0009396371001,2020-01-01,2020-12-31,002,042917465,,121009,,0,0,,,,,0,,,,,,,,,0,,,,,,121009,,,,,0,121009,,410000,,750,40908,,,,,0,,,,,,,,,535044,,,,,,986702,,,,,0,986702,830000,,,,830000,21,,,,,,21,,,2015,2015,,,,0,,,0,,,,,53475,,885511,,,,0,,,,,,,19818,19818,19818,865693,,,1,,"CARON & BLETZER, PLLC",043499945,,2,,2,,2,,1,750,2,,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,
