ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER,ACCT_PERF_LTD_AUDIT_103_8_IND,ACCT_PERF_LTD_AUDIT_103_12_IND,ACCT_PERF_NOT_LTD_AUDIT_IND,SALARIES_ALLOWANCES_AMT,OTH_RECORDKEEPING_FEES_AMT,IQPA_AUDIT_FEES_AMT,TRUSTEE_CUSTODIAL_FEES_AMT,ACTUARIAL_FEES_AMT,LEGAL_FEES_AMT,VALUATION_APPRAISAL_FEES_AMT,OTHER_TRUSTEE_FEES_EXPENSES_AMT
20190715092953P030353794727001,2018-01-01,2018-12-31,003,731627673,,0,0,0,1234653,,,,,,,,,,,,,,,,,19453775,,,20688428,0,0,0,7134853,7134853,13553575,,0,0,0,1184105,,,,,,,,,,,,,,,,,17345345,,,18529450,,,,6418791,6418791,12110659,1153718,0,0,0,1153718,19606,0,0,0,,0,19606,0,281913,0,281913,0,0,0,0,0,-1500394,-1500394,0,0,0,0,0,0,-45157,826971,0,0,826971,0,,570788,0,0,0,0,0,1397759,-1442916,0,,1,2,"WOLF & COMPANY, P.C.",042689883,,2,0,2,0,2,0,2,0,1,8000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20191008164954P040067451393001,2018-01-01,2018-12-31,003,042745179,100,,,,,,,,,,,,,,,,,,,,,5330723,,,5330823,,,210350,,210350,5120473,100,,,,,,,,,,,,,,,,,,,,,5861394,,,5861494,,,105175,,105175,5756319,114640,,,,114640,,,,,,,0,,,,0,,,,0,,1021712,1021712,,,,,,,1136352,491040,,,491040,,,9466,,,,,0,500506,635846,,,1,2,"KING, MCNAMARA & MORIARTY",042686846,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20190722110851P040270464845001,2018-01-01,2018-12-31,002,042445292,,,,,1302961,60715,,38927,1320,258417,,,,,,,,,1172220,,642143,18032692,,,21509395,,,,3270,3270,21506125,,13372,,,2818452,77151,,40637,2553,233758,,,,,,,,,592191,,396436,22131389,,,26305939,,,,,,26305939,433377,,,,433377,32532,,,,,18063,50595,,1362314,25635,1387949,,,,,,4047102,4047102,,,,,-20574,,5898449,1088852,,,1088852,,,,,,,9783,9783,1098635,4799814,,,1,2,"SULLIVAN BILLE, P.C.",043296201,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
20190722113453P040270530429001,2018-01-01,2018-12-31,002,043175021,424231,1567,,,3756,94824,,126022,,67027,,,,,,,,,225435,,,1638466,,,2581328,,,530474,,530474,2050854,478704,2878,,,6501,176627,,123646,,117132,,,,,,,,,314959,,,1653581,,,2874028,,,438172,,438172,2435856,313549,,,,313549,17227,,,,,,17227,,,,0,,,,0,,-23072,-23072,,,,,,153009,460713,52104,,,52104,,,16369,,,,7238,7238,75711,385002,,,1,2,SULLIVAN AND FOLAN LLC,043252952,,2,,2,,2,,2,,1,242219,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20190717060940P030255677837001,2018-01-01,2018-12-31,003,041123740,6137,,,176320,,,,,,,,,,,,,,,1004774,,,6676544,,,7863775,,,,,,7863775,6137,,,197460,,,,,,,,,,,,,,,628528,,,7592718,,,8424843,,,,432727,432727,7992116,,,,,,,,,,,,,,205995,,205995,,,,,,1543510,1543510,,,,,,,1749505,1614960,,,1614960,,,6204,,,,,,1621164,128341,,,1,2,"PKF, PC",043138777,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
20190725131024P040013074569001,2018-01-01,2018-12-31,002,412126830,0,,,,206359,,,,,,,,,,,,,,,,,,,,206359,,,,,0,206359,5070,,,,0,,,,,,,,,,,,,,,,,,,,5070,,,,,0,5070,,,,,0,,,,,,,0,,,,0,,,,0,,,0,,,,,,,0,201153,,,201153,,,,,,,136,136,201289,-201289,,,3,1,"NARDELLA & TAYLOR, LLP",042979611,,2,,2,,2,,2,,1,3000000,2,,2,,2,,1,2,2,2,,2,,1,0,,,,,,,,,,,,,,,,,,,,,,,
20190916064115P040018056919001,2018-01-01,2018-12-31,002,042547913,0,2409757,,28,29435,,,,,,,,,,,,,,,,,36575665,,,39014885,,,2409757,,2409757,36605128,11954615,0,,19244,0,,,,,,,,,,,,,,,,,0,,,11973859,,,0,,0,11973859,,,,,0,405925,,,,,,405925,,,,0,,38204927,36575665,1629262,,,0,,,,,,,2035187,26666456,,,26666456,,,,,,,,0,26666456,-24631269,,,1,2,CREE ALESSANDRI & STRAUSS CPA LLC,384082629,,2,,2,,2,,2,,1,1500000,2,,2,,2,,2,2,2,2,,2,,1,0,,,,,,,,,,,,,,,,,,,,,,,
20190913144236P040007901837001,2018-01-01,2018-12-31,003,042301242,,0,0,0,,,,,,,,,,,,,,,,,,2783040,,,2783040,0,0,0,0,0,2783040,,0,0,0,,,,,,,,,,,,,,,,,,3752000,,,3752000,,,,,0,3752000,238521,0,0,0,238521,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,968960,968960,0,0,0,0,0,0,1207481,238521,0,0,238521,0,,0,0,0,0,0,0,238521,968960,0,,1,2,"COLES & BODOIN, LLP",042620388,,2,0,2,0,2,0,2,0,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20190709131454P030341882465001,2018-01-01,2018-12-31,003,042557451,0,,,,,,,,,,,,,,,,,,,,,139412500,,,139412500,,,16869927,,16869927,122542573,0,,,,,,,,,,,,,,,,,,,,,155420000,,,155420000,,,22933763,,22933763,132486237,1160094,,,,1160094,,,,,,,0,,,,0,,,,0,,15323115,15323115,,,,,,,16483209,5960443,,,5960443,,,579102,,,,,0,6539545,9943664,,,1,2,"BDO USA, LLP",135381590,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20190913091953P030007696253001,2018-01-01,2018-12-31,002,203724403,,,,,,,,,,,,,,,,,,,,,,22040000,,,22040000,,,21573386,,21573386,466614,,,,,,,,,,,,,,,,,,,,,,29800000,,,29800000,,,20846620,,20846620,8953380,1491809,,,,1491809,,,,,,,0,,,,0,,,,0,,7760000,7760000,,,,,,,9251809,48807,,,48807,,,716236,,,,,0,765043,8486766,,,1,2,"GRAY, GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
