ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER,ACCT_PERF_LTD_AUDIT_103_8_IND,ACCT_PERF_LTD_AUDIT_103_12_IND,ACCT_PERF_NOT_LTD_AUDIT_IND
20220815110612NAL0027832434001,2021-01-01,2021-12-31,003,041309690,,,,,,,,,,,,,,304079,,,,,56451129,,,,,,56755208,,,,,0,56755208,,,,,,,,,,,,,,330786,,,,,61636843,,,,,,61967629,,,,,0,61967629,1554414,1614833,2078668,,5247915,,,,,14047,,14047,,,2466332,2466332,,,,0,,,0,,,,,5584711,,13313005,8090138,,,8090138,2982,,,,,,7464,7464,8100584,5212421,,,1,,"WOLF & COMPANY, PC",042689883,,2,,2,,2,,2,,1,10000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,0,0
20220725123732NAL0000312033001,2021-01-01,2021-12-31,003,270396940,22361,,,,,,,,,,,,,,,,,,,,,330603000,,,330625361,22361,,922013,,944374,329680987,21508,,,,,,,,,,,,,,,,,,,,,402276000,,,402297508,12908,,908072,,920980,401376528,549591,,,,549591,,,,,,,,,,,,,,,,,71673001,71673001,,,,,,,72222592,503171,,,503171,,,23880,,,,,,527051,71695541,,,1,,RSM US LLP,420714325,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1
20220912100737NAL0028552145001,2021-01-01,2021-12-31,003,043402944,,0,,0,366458,,,,,,,,,,,,,,,,,8932259,,,9298717,,,501914,0,501914,8796803,,0,,396,345963,,,,,,,,,,,,,,,,,10685044,,,11031403,,,251914,0,251914,10779489,261903,,,,261903,21,,,,,,21,,338320,,338320,,,,0,,3017545,3017545,,,,,,,3617789,1600079,,,1600079,,,34643,,381,,,381,1635103,1982686,,,1,,"PKF O'CONNOR DAVIES, LLP",271728945,,2,,2,,2,,2,,1,7000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,0,0,1
20220908080438NAL0023649905001,2021-01-01,2021-12-31,006,043067724,,0,0,,,,,,,,,,,615134,43425070,,,,,,,,,,44040204,,,,,0,44040204,,0,0,,,,,,,,,,,399494,44232895,,,,,,,,,,44632389,,,,,0,44632389,423684,1951687,66823,,2442194,,,,,25033,,25033,,,,0,,,,0,,,0,6906796,,,,,,9374023,8727645,,,8727645,,,,,54193,,,54193,8781838,592185,,,1,,"CARON & BLETZER, PLLC",043499945,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,1,0,,,,,,,,,,,,,,,1
20220926142708NAL0002487137001,2021-01-01,2021-12-31,001,043490470,,,,,,,,,,,,,,26858,,2884137,,,,197353,,,,,3108348,,,,,0,3108348,,1657,4287,,,,,,,,,,,55408,,3365937,,,,190738,,,,,3618027,,,,,0,3618027,53704,133977,32249,,219930,,,,0,2025,1301,3326,,,,0,,,,0,,,0,,450388,,,,,673644,160465,,,160465,,,,,3500,,,3500,163965,509679,,,3,,LEECPA AUDIT GROUP,814637885,,2,,2,,2,,2,,1,335000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,0,0
20220909161214NAL0025063073001,2021-10-01,2021-11-12,005,043067724,,,,,,,,,,,,,,,61360120,,,,,,,,,,61360120,,,,,0,61360120,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,0,0,,,,,0,,,,,,,0,,,,0,,,,0,,,0,2387213,,,,,,2387213,278731,,,278731,,,,,,,,0,278731,2108482,,63468602,1,,JOHNSON OCONNOR FERON & CARUCCI LLP,203985546,,2,,2,,2,,2,,1,1000000,2,,2,,2,,2,2,1,2,,,,2,,,,1,,,,,,,,,459000,0,0,1
20220929120035NAL0013129186001,2021-01-01,2021-12-28,001,043484613,,17848,1794,,,,,,,,,,,,,1293331,,,,,,,,,1312973,,,,18481,18481,1294492,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,0,,179650,,,179650,,,,,,,,,,,,,,,,,,,,167998,,,,,347648,1607638,,,1607638,,,,,,,34502,34502,1642140,-1294492,,,1,,"CARON & BLETZER, PLLC",043499945,,1,1794,2,,2,,2,,1,500000,2,,2,,2,,2,2,1,2,,2,,1,0,,,,,,,,,,,,,1,,
20221128142912NAL0012808801001,2021-01-01,2021-12-31,001,475615911,,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,0,0,,,,,150,,,,,,,,,,,,,,342929,,,,,,343079,,,,,0,343079,129048,205024,497,,334569,,,,,,,0,,,8596,8596,,,,0,,,0,,,,,3452,,346617,2590,,,2590,,,,,615,333,,948,3538,343079,,,1,,PENSION ASSURANCE LLP,300840934,,2,,2,,2,,2,,1,10000,2,,2,,2,,1,2,2,2,,2,,,,,,,,,,,,,,,,1,,
20230717151128NAL0016191459001,2021-10-01,2022-09-30,004,042631963,,1664920,3617681,,,,,,,,,,,753853,92199328,24713382,,,27197645,9898724,15718643,,,,175764176,,,,,0,175764176,,1991942,3458745,,,,,,,,,,,907326,76427970,20648566,,,22644133,9961739,11482533,,,,147522954,,,,,0,147522954,4135327,6899953,897054,,11932334,,,,,33731,63015,96746,,,580680,580680,,,,0,,,0,-16823245,-4328695,,,-5225718,-4857509,-18625407,8675269,,,8675269,754706,,,,185840,,,185840,9615815,-28241222,,,3,,CARON & BLETZER,043499945,,1,3136,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,
20230717151212NAL0027931665001,2021-10-01,2022-09-30,005,042631963,,,,,,,,,,891807419,,,,,,,,,,,,,,,891807419,,,,,0,891807419,,104624,,,674468,,,,,655365398,,,,,,,,,,,,,,,656144490,,,,342101601,342101601,314042889,10984001,,,,10984001,17172,,,,,,17172,,27569357,,27569357,,,,0,,-209094660,-209094660,,,,,,-11165881,-181690011,396074519,,,396074519,,,,,,,,0,396074519,-577764530,,,1,,CARON & BLETZER,043499945,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1
