ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20240213105207NAL0079443794001,2023-01-01,2023-12-18,002,010367721,10040,1040,9000,0,0,0,,,,,,0,8300,,,,700,9000,-9000,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,203000,2,,2,,2,,2,,1,1,2,,2,,1,0,,,,,,,,,,,,
20240826130905NAL0017512192001,2023-01-01,2023-12-31,001,043495686,181392,1835860,-1654468,171025,1659791,-1488766,105502,,,,95000,200502,,,,,34800,34800,165702,,2,,2,,2,,1,171000,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,171000,2,1,2,,2,,2,,,,,,,,,,,,,
20250303120516NAL0005501409001,2023-01-01,2023-12-31,002,208818800,1150000,0,1150000,2232000,20858302,-18626302,1135929,,,,-20281646,-19145717,,,,,630585,630585,-19776302,,2,,2,,2,,1,2232000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2232000,2,1,2,,2,,2,,,,,,,,,,,,,
20250414225711NAL0002563185001,2023-07-01,2024-06-30,004,042279997,5874983,1755599,4119384,4194704,1556483,2638221,466962,,,,-1487244,-1020282,460881,,,,,460881,-1481163,,2,,2,,2,,1,4194703,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,4194703,2,1,2,,2,,2,,,,,,,,,,,,,
20241015082220NAL0029005009001,2023-01-01,2023-12-31,002,043221989,6186400,3132736,3053664,5784800,2867021,2917779,347479,,,,-401600,-54121,,,,,81764,81764,-135885,,2,,2,,2,,1,5784800,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,5784800,2,1,2,,2,,2,,,,,,,,,,,,,
20240711140013NAL0009410051001,2023-01-01,2023-12-31,001,043577380,1513284,,1513284,1778773,,1778773,100000,,,,420904,520904,112283,,,,960,113243,407661,-142172,2,,2,,2,,1,1236000,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,1236000,2,1,2,,2,,2,,,,,,,,,,,,,
20241008073826NAL0017238401001,2023-04-01,2024-03-31,002,042587894,7510000,2244878,5265122,11210000,2127387,9082613,161957,,,,3700000,3861957,12115,,,25,32326,44466,3817491,,2,,2,,2,,1,11210000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,11210000,2,1,2,,2,,2,,,,,,,,,,,,,
20241007143143NAL0027700368001,2023-01-01,2023-12-31,002,042887710,7636202,1676223,5959979,5660836,1346892,4313944,179892,,,,14,179906,142008,,,,1683933,1825941,-1646035,,2,,2,,2,,1,5520150,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,5520150,2,1,2,,2,,2,,,,,,,,,,,,,
20240711111517NAL0025900160001,2023-01-01,2023-12-31,003,043200597,24660608,2824065,21836543,35013734,2788877,32224857,10535877,,,,,10535877,147563,,,,,147563,10388314,,2,,2,,2,,1,34647015,2,,2,,2,,2,,2,,2,,2,,1,2000000,2,,2,,2,,1,34647015,2,1,2,,2,,2,,,,,,,,,,,,,
20241007153823NAL0016349377001,2023-01-01,2023-12-31,002,042943867,7619393,9451529,-1832136,4705019,9092072,-4387053,562413,,,,-2851314,-2288901,66699,,,5566,193751,266016,-2554917,,2,,2,,2,,1,4141920,2,,2,,2,,2,,2,,2,,2,,1,1500000,2,,2,,2,,1,4141920,2,1,2,,2,,2,,,,,,,,,,,,,
