ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER,ACCT_PERF_LTD_AUDIT_103_8_IND,ACCT_PERF_LTD_AUDIT_103_12_IND,ACCT_PERF_NOT_LTD_AUDIT_IND,SALARIES_ALLOWANCES_AMT,OTH_RECORDKEEPING_FEES_AMT,IQPA_AUDIT_FEES_AMT,TRUSTEE_CUSTODIAL_FEES_AMT,ACTUARIAL_FEES_AMT,LEGAL_FEES_AMT,VALUATION_APPRAISAL_FEES_AMT,OTHER_TRUSTEE_FEES_EXPENSES_AMT
20250603103855NAL0010617233001,2024-01-01,2024-12-31,007,813268325,,,,5491,,,,,,197532,,,,,209601,,,,3927412,,,344824739,,,349164775,,,,,0,349164775,,,,6555,,,,,,164299,,,,,211844,,,,3845678,,,363563946,,,367792322,,,,,0,367792322,,,,,0,,,,,,,0,,8963338,84464,9047802,,28038008,25088955,2949053,,45902834,45902834,15139,,,,63799,,57978627,40162647,,,40162647,,,,,31540,,1400,61164,40223811,17754816,872731,,1,,DELOITTE & TOUCHE LLP,133891517,,2,,2,,2,,2,,1,10000000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,,0,0,1,,,,28224,,,,
20250729151553NAL0001432867001,2024-01-01,2024-12-31,003,731627673,,,,,1207374,,,,,,,,,,,,,,,,,13885182,,,15092556,,,,3049802,3049802,12042754,,,,,1168273,,,,,,,,,,,,,,,,,13561509,,,14729782,,,,2416515,2416515,12313267,786967,,,,786967,58470,,,,,,58470,,421921,,421921,,,,0,,320188,320188,,,,,-192147,,1395399,879282,,,879282,,,243984,,,1375,,1375,1124641,270758,,245,1,,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,8000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,
20251002100207NAL0000294353001,2024-01-01,2024-12-31,003,042741165,,,,,,,,,,,,,,,,,,,,,,18552000,,,18552000,,,55290198,,55290198,-36738198,,,,,,,,,,,,,,,,,,,,,,51608000,,,51608000,,,53362894,,53362894,-1754894,4340299,,,,4340299,,,,,,,0,,,,0,,,,0,,33056000,33056000,,,,,,,37396299,6826,,,6826,,,2406169,,,,,0,2412995,34983304,,,1,,"LITMANGERSON ASSOCIATES, LLP",042694095,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,,,,,,,,,,,,,,,0,0,1,,,,,,,,
20251001152854NAL0012788017001,2024-01-01,2024-12-31,003,844259761,0,,,,,,,,,,,,,,,,,,,,,209266000,,,209266000,,,57427807,,57427807,151838193,0,,,,,,,,,,,,,,,,,,,,,182637500,,,182637500,,,63304187,,63304187,119333313,3945835,,,,3945835,,,,,,,0,,527376,,527376,,,,0,,-26760206,-26760206,,,,,,131706,-22155289,7994843,,,7994843,,,1827372,,,,,0,9822215,-31977504,,527376,1,,"BDO USA, P.C.",135381590,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,0,0,1,,,,,,,,
20250812064915NAL0022362210001,2024-01-01,2024-12-31,002,042821431,,1700000,,,133689,,,,,,,,,,,,,,,,,27774900,,,29608589,,,,,0,29608589,,1700000,,,98355,,,,,,,,,,,,,,,,,32304600,,,34102955,,,,,0,34102955,1800000,,,,1800000,1847,,,,,,1847,,,,0,,,,0,,4529700,4529700,,,,,,,6331547,1783032,,,1783032,,,,,,,,0,1783032,4548515,,54149,1,,"PKF O'CONNOR DAVIES, LLP",271728945,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,
20250710105746NAL0005452001001,2024-01-01,2024-12-31,003,043497377,,,,,1005,,,,,,,,,,,,,,,,,14679767,,,14680772,,,,7788006,7788006,6892766,,,,,981,,,,,,,,,,,,,,,,,15948048,,,15949029,,,,7168824,7168824,8780205,1008428,,,,1008428,167,,,,,,167,,,,0,,,,0,,1850934,1850934,,,,,17883,,2877412,600573,,,600573,,,389400,,,,,0,989973,1887439,,,1,,"CARON & BLETZER, PLLC",043499945,,2,,2,,2,,2,,1,5000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,
20250721100202NAL0000572403001,2024-01-01,2024-12-31,002,043484613,,,,,62,,,,,,,,,,,,,,,,,0,,,62,,,14793341,0,14793341,-14793279,,,,,62,,,,,,,,,,,,,,,,,0,,,62,,,14793341,0,14793341,-14793279,,,,,0,,,,,,,0,,,,0,,,,0,,,0,,,,,,,0,,,,0,,,,,,,,0,0,0,,,,,,,2,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,0,,,,,
20250814114002NAL0009573217001,2024-01-01,2024-12-31,003,270396940,16597,,,,,,,,,,,,,,,,,,,,,611863000,0,0,611879597,7656,0,878968,0,886624,610992973,17060,,,,,,,,,,,,,,,,,,,,,729330000,,,729347060,7656,,864040,,871696,728475364,1557098,,,,1557098,463,,,,,,463,,,,0,,,,0,,117467000,117467000,,,,,,,119024561,1517642,,,1517642,,,22893,,,,,1635,1542170,117482391,,,1,,RSM US LLP,420714325,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,1,,,,1635,,,,
20250825203256NAL0014357664001,2024-01-01,2024-12-31,002,471008886,4928,2600000,,,,9206519,,,,,,,,,,,,,,,,232700000,,,244511447,,,823313,,823313,243688134,6008,0,,,,6006719,,,,,,,,,,,,,,,,247360000,,,253372727,,,795670,,795670,252577057,6738469,,,,6738469,248412,,,,,,248412,,0,,0,,9205420,9127485,77935,,14660001,14660001,,,,,,,21724817,12802661,,,12802661,,,32933,,,300,,300,12835894,8888923,,,1,,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,0,0,1,,,,,,,,
20250929091108NAL0014959555001,2024-01-01,2024-12-31,002,475615911,,5413844,,,,,,,,,,,,,,,,,,,,10976431,,,16390275,,,77573343,,77573343,-61183068,,0,,,,,,,,,,,,,,,,,,,,10865913,,,10865913,,,68260463,,68260463,-57394550,2950045,,,,2950045,,,,,,,0,,2170559,,2170559,,,,0,,-110518,-110518,,,,,,,5010086,,,,0,,,1221568,,,,,0,1221568,3788518,,,1,,"SMITH & HOWARD, PC",581250486,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,0,0,1,,,,,,,,
