ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20230725111840NAL0009460625001,2022-01-01,2022-12-31,002,043223296,5088541,,5088541,5056988,,5056988,355811,,,,-130876,224935,249790,,,,6698,256488,-31553,,2,,2,,2,,1,3805529,2,,2,,2,,2,,2,,2,,2,,1,580000,2,,1,3857004,2,,2,,2,1,2,,2,,2,,,,,,,,,,,,,
20230725114735NAL0018393250001,2022-01-01,2022-12-31,002,041810570,737102,,737102,716928,,716928,,,,,-20174,-20174,,,,,,0,-20174,0,2,,2,,2,,1,716928,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,716928,2,1,2,,2,,2,,,,2,,,,,,,,,
20230821145944NAL0002177651001,2022-01-01,2022-12-31,002,043152864,9702000,4892686,4809314,11157300,2888050,8269250,697493,,,,3030857,3728350,,,,,268414,268414,3459936,,2,,2,,2,,1,11157300,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,1,11157300,2,,2,,2,1,2,,2,,2,,,,,,,,,,,,,
20231213132334NAL0024572625001,2022-01-01,2022-12-31,002,263038320,241255,,241255,0,,0,0,,,,,0,241255,,,,,241255,-241255,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,1,0,,,,,,,,,,,,
20231218155205NAL0041219888001,2022-01-01,2022-12-31,002,113672395,23441,2384771,-2361330,22932,1919686,-1896754,495134,0,0,0,14,495148,524,0,0,0,30048,30572,464576,0,2,,2,,2,,1,22000,2,,2,,2,,2,0,2,0,2,0,2,0,1,1000000,2,,2,,2,,1,22000,2,1,2,,2,,2,0,,,,,,,,,,,,
20230629131535NAL0009967744001,2022-01-01,2022-12-31,003,042837729,16902971,1937319,14965652,19603712,1667985,17935727,356674,0,0,0,3193424,3550098,492794,0,0,0,87229,580023,2970075,0,2,,2,,2,,1,19601201,2,,2,,2,,2,0,2,0,2,0,2,0,1,500000,2,,2,,2,,2,0,2,1,2,,2,,2,0,,,,,,,,,,,,
20230927162437NAL0022755202001,2022-01-01,2022-12-31,002,043401502,26122384,0,26122384,26521944,0,26521944,10000,,,,997450,1007450,568759,,,,39131,607890,399560,,2,,2,,2,,1,20996670,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,1,20996670,2,,2,,2,1,2,,2,,2,,,,,,,,,,,,,
20230711140510NAL0021503617001,2022-01-01,2022-12-31,001,043577380,3054310,,3054310,1513284,,1513284,330000,,,,-1665400,-1335400,204846,,,780,,205626,-1541026,,2,,2,,2,,1,836000,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,836000,2,1,2,,2,,2,,,,,,,,,,,,,
20230602151321NAL0022419841001,2022-01-01,2022-12-31,002,010367721,14971,2474517,-2459546,10040,1040,9000,6299,,,,2462247,2468546,,,,,,0,2468546,,2,,2,,2,,1,0,2,,2,,2,,2,,2,,2,,2,,1,203000,2,,2,,2,,1,9000,2,1,2,,2,,1,0,,,,,,,,,,,,
20230727111657NAL0023438850001,2022-01-01,2022-12-31,003,042274728,1351289,,1351289,1325024,,1325024,43761,0,0,0,-59109,-15348,10917,0,0,0,0,10917,-26265,,2,,2,,2,,1,1325024,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,1325024,2,1,2,,2,2,2,,,,,,,,,,,,,
20230713063101NAL0013160915001,2022-01-01,2022-12-31,001,041294820,0,,0,11781021,6928495,4852526,561677,,,,4440821,5002498,,,,,149972,149972,4852526,,2,,2,,2,,1,11781021,2,,2,,2,,2,,2,,2,,2,,1,5000000,2,,2,,2,,1,11781021,2,1,2,,2,,2,,,,,,,,,,,,,
