ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20200619080512NAL0002000771001,2019-01-01,2019-12-31,002,042557451,,,,,,,,,,,,,,746773,7748398,,,,35216683,,,,,,43711854,,,,,0,43711854,,,,,,,,,,,,,,696324,7930202,,,,43246726,,,,,,51873252,,,,,0,51873252,,1016871,2602045,,3618916,,,,,31864,,31864,,,1769937,1769937,,,,0,,,0,418120,,,,6494114,,12332951,4168403,,,4168403,,,,,,,3150,3150,4171553,8161398,,,3,1,"BDO USA, LLP",135381590,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20201012174519NAL0002248883001,2019-01-01,2019-12-31,001,203724403,,33760,67627,,,,,,,,,,,346858,,,,,14469086,,,,,,14917331,,,,,0,14917331,,,,,,,,,,,,,,311060,,,,,21791427,,,,,,22102487,,,,,0,22102487,1092694,2325149,893594,,4311437,,,,,19959,,19959,,,667923,667923,,,,0,,,0,,,,,3264037,12,8263368,1059479,,,1059479,,1013,,,,,17720,17720,1078212,7185156,0,0,3,1,"MINSK GOULD,TATTRIE& LUSSIER LLP",364774142,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20201013072146NAL0004166673001,2019-01-01,2019-12-31,003,041866480,,,,,312,,,,,,,,,900392,,,,,15081224,,,1433686,,,17415614,,,,,0,17415614,,,,,,,,,,,,,,907633,,,,,18553317,,,1500238,,,20961188,,,,,0,20961188,1136377,1490631,,,2627008,,,,,41024,,41024,,,445752,445752,,,,0,,,0,,,,,2751161,,5864945,2196754,,,2196754,,25187,,43962,,53468,,97430,2319371,3545574,,,3,2,BOLLUS LYNCH,043037870,,2,,2,,2,,2,,1,5000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20201012140642NAL0004147168001,2019-01-01,2019-12-31,002,042550058,194715,,,,30782,,,,,,,,,,,,,,,,,3362247,,,3587744,14543,,206052,,220595,3367149,187783,,,,30788,,,,,,,,,,,,,,,,,3178561,,,3397132,14543,,95218,,109761,3287371,323897,,,,323897,6,,,,,,6,111279,,,111279,,,,0,,-183687,-183687,,,,,,,251495,323897,,,323897,,,7159,,,,217,217,331273,-79778,,,1,2,"O'CONNOR AND DREW, P.C.",043000523,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200708105023NAL0017207392001,2019-01-01,2019-12-31,001,042606179,,,,,,,,,,,,,,129644,,,,,16722197,1016808,,,,,17868649,,,,,,17868649,,,,,,,,,,,,,,151458,,,,,21234937,949852,,,,,22336247,,,,,,22336247,212663,903202,21223,,1137088,,,,,7195,,7195,,,,,,,,,,,,,,,,4344229,51712,5540224,1015867,,,1015867,,,,,56759,,,56759,1072626,4467598,,,3,1,"CARON & BLETZER, PLLC",043499945,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200708133213NAL0018100288001,2019-01-01,2019-12-31,001,042821431,0,2885000,0,0,0,0,0,0,0,48051,0,0,0,417504,3820129,0,0,0,75310050,,0,0,0,0,82480734,0,0,0,0,0,82480734,0,750000,0,0,1854581,0,0,0,0,37732,0,0,0,441557,3438964,0,0,0,99317156,,0,0,0,0,105839990,0,0,0,0,0,105839990,1828082,3670336,813863,0,6312281,31687,0,0,0,24472,0,56159,0,770,4690687,4691457,0,32993,31766,1227,0,4618,4618,72438,0,0,0,15038842,45000,26222022,2891195,0,0,2891195,6662,0,0,0,0,24741,2450,27191,2925048,23296974,62282,,3,1,"DICICCO,GULMAN&COMPANYLLP",043296226,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,
20201006144020NAL0010289889002,2019-01-01,2019-12-31,001,043484613,,10778,,,,,,,,,,,,,,901820,,,,,,,,,912598,,,,,,912598,,19990,,,,,,,,,,,,,,1239569,,,,,,,,,1259559,,,,,,1259559,19979,288890,,,308869,,,,,,,,,,,,,,,,,,,,,,,209363,,518232,169001,,,169001,,,,,2270,,,2270,171271,346961,,,3,1,CARON & BLETZER,043499945,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200630172023NAL0007773185001,2019-01-01,2019-12-31,007,041366970,,,,2178,,,,,,416311,,,,,236224,,,,1880302,,,285676238,,,288211253,,,,,0,288211253,,,,1902,,,,,,402567,,,,,453034,,,,2542235,,,360317515,,,363717253,,,,,0,363717253,,,,,0,,,,,,,0,,8930907,50358,8981265,,27184425,22170417,5014008,,94888665,94888665,6788,,,,380220,,109270946,33654345,,,33654345,,,,22686,39698,,,62384,33716729,75554217,365909,414126,1,2,DELOITTE & TOUCHE LLP,133891517,,2,,2,,2,,2,,1,10000000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,
20201006141812NAL0010307761001,2019-01-01,2019-12-31,003,041309690,,,,,,,,,,,,,,274262,,,,,40857550,,,,,,41131812,,,,,0,41131812,,,,,,,,,,,,,,242690,,,,,52026847,,,,,,52269537,,,,,0,52269537,1469384,1447412,6157479,,9074275,,,,,11244,,11244,,,1559788,1559788,,,,0,,,0,,,,,6860275,,17505582,6327966,,,6327966,34488,,,,,,5403,5403,6367857,11137725,,,3,1,"WOLF & COMPANY, PC",042689883,,2,,2,,2,,2,,1,10000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,
20200121143542NAL0001958689001,2018-07-01,2019-06-30,599,041366970,,,,46011,24753629,,,,,,,,,,102226267,,,,,,,,,,127025907,,,,,0,127025907,,,,44410,22616464,,,,,,,,,,107251694,,,,,,,,,,129912568,,,,,0,129912568,,,,,0,579807,,,,,,579807,,,,0,,,,0,,,0,5425550,,,,,583104,6588461,,,,0,,,,,,,,0,0,6588461,14281729,17983529,,,,,1,,,2,,2,,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
