ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20160509071502P030061965207001,2015-01-01,2015-12-31,001,311060347,5985690,155980,5829710,6762143,,6762143,304962,,,,636665,941627,9194,,,,,9194,932433,,2,,2,,2,,1,4173754,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,4173754,2,1,2,,2,2,2,,,,,2,,2,,,,,,
20160610080012P040007214597001,2015-01-01,2015-12-31,004,041609810,569994,332333,237661,589961,253187,336774,89948,0,0,0,23153,113101,3187,0,0,0,10801,13988,99113,0,2,0,2,0,2,0,1,578588,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2000000,2,0,2,0,2,0,1,578588,2,1,2,0,2,,2,0,,,,,,,,,,,,
20160609104322P030093378509001,2015-01-01,2015-12-31,002,041203530,7074309,1125000,5949309,7272770,876306,6396464,623464,,,,455357,1078821,366361,,,12357,45625,424343,654478,-207323,2,,2,,2,,1,6573640,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,6573640,2,1,2,,2,,2,,,,,,,,,,,,,
20160623073836P030000150633001,2015-01-01,2015-12-31,002,042804642,2280109,2186667,93442,2024016,1913638,110378,385282,,,,-256398,128884,17484,,,,94464,111948,16936,,2,,2,,2,,1,2023711,2,,2,,2,,2,,2,,2,,2,,1,400000,2,,2,,2,,1,2023711,2,1,2,,2,,2,,,,,2,,2,,,,,,
20160608104735P030097812407001,2015-01-01,2015-12-31,003,042274728,1182373,,1182373,1018858,,1018858,39498,0,0,0,-103241,-63743,99772,0,0,0,0,99772,-163515,,2,,2,,2,,1,1018858,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,1018858,2,1,2,,2,2,2,,,,,,,,,,,,,
20160714145320P030033587495001,2015-01-01,2015-12-31,002,042501424,225000,1450000,-1225000,710000,1395486,-685486,96563,,,,485001,581564,,,,,42050,42050,539514,,2,,2,,2,,1,710000,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,710000,2,1,2,,2,,2,,,,,,,,,,,,,
20160729195315P040056420097001,2015-01-01,2015-12-31,002,042895731,3116000,2179869,936131,2794000,1791363,1002637,115952,0,0,0,-41344,74608,8102,0,0,0,0,8102,66506,,2,,2,,2,,1,1002637,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1002637,2,1,2,,2,2,2,,,,,,,,,,,,,
20160606082250P040096161511001,2015-01-01,2015-12-31,002,043223296,3932763,935529,2997234,4913294,638954,4274340,531406,,,,788566,1319972,8036,,,,34830,42866,1277106,,2,,2,,2,,1,4196935,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,4196935,2,1,2,,2,,2,,,,,3,,2,,,,,,
20160727153221P030040877853001,2015-01-01,2015-12-31,001,204270900,0,0,0,0,0,0,,,,,,0,,,,,,0,0,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,1,2,,2,,2,,,,,,,,,,,,,
20160714091314P040033207831001,2015-01-01,2015-12-31,002,042637381,10420295,769027,9651268,11243231,628841,10614390,655211,,,,850104,1505315,510091,,,9,32093,542193,963122,,2,,2,,2,,1,10716041,2,,2,,2,,2,,2,,2,,2,,1,1500000,2,,2,,2,,1,10716041,2,1,2,,2,,2,,,,,,,,,,,,,
