ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20150331145927P040207493937001,2014-01-01,2014-12-31,004,042272126,0,0,0,600000,0,600000,600000,,,,,600000,,,,,,0,600000,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,60000,2,,2,,2,,2,,2,1,2,,2,,2,,,,,,,,,,,,,
20150430105830P030187607623001,2014-01-01,2014-12-31,001,042444641,3006951,,3006951,3085125,,3085125,438841,,,,-58860,379981,301807,,,,,301807,78174,,2,,2,,2,,1,2938260,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2938260,2,1,2,,2,,2,,,,,,,,,,,,,
20150602094408P040010876365001,2014-01-01,2014-12-31,003,042514329,4921000,40040,4880960,5005994,41642,4964352,548573,,,,76000,624573,539125,,,454,1602,541181,83392,,2,,2,,2,,1,4997000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,4997000,2,1,2,,2,,2,,,,,,,,,,,,,
20150608072247P040033163591001,2014-01-01,2014-12-31,002,041203530,6225261,1375090,4850171,7074309,1125000,5949309,531266,,,,1138492,1669758,422641,,,14363,55764,492768,1176990,-77852,2,,2,,2,,1,6146690,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,6146990,2,1,2,,2,,2,,,,,,,,,,,,,
20150602162056P030025840823001,2014-01-01,2014-12-31,002,042348065,4795855,,4795855,5243870,,5243870,235366,,,,448002,683368,235353,,,,,235353,448015,,2,,2,,2,,1,5243809,2,,2,,2,,2,,2,,2,,2,,1,760000,2,,2,,2,,1,5243809,2,1,2,,2,,2,,,,,,,,,,,,,
20150709091442P040102422161001,2014-01-01,2014-12-31,002,042804642,1929162,2460448,-531286,2280109,2186667,93442,390728,,,,351395,742123,11123,,,,106272,117395,624728,,2,,2,,2,,1,2280009,2,,2,,2,,2,,2,,2,,2,,1,400000,2,,2,,2,,1,2280009,2,1,2,,2,,2,,,,,,,,,,,,,
20150710093938P040084887495001,2014-01-01,2014-12-31,002,042637381,11899456,907702,10991754,10420295,769027,9651268,689842,,,,-1478782,-788940,512252,,,,39294,551546,-1340486,,2,,2,,2,,1,9880340,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,9880340,2,1,2,,2,,2,,,,,,,,,,,,,
20150714144038P040035630685001,2014-01-01,2014-12-31,002,043035339,1317302,,1317302,1856891,3779,1853112,498000,,,,51296,549296,13486,,,,,13486,535810,,2,,2,,2,,1,1366046,2,,2,,2,,2,,2,,2,,2,,1,80000,2,,2,,2,,1,1366046,2,1,2,,2,,2,,,,,,,,,,,,,
20150714110510P040091101431001,2014-01-01,2014-12-31,002,041728400,0,0,0,1950906,1718785,232121,92413,0,0,0,152836,245249,0,0,0,0,13128,13128,232121,0,2,0,2,0,2,0,1,1950906,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2000000,2,0,2,0,2,0,1,1950906,2,1,2,0,2,2,2,0,,,,,,,,,,,,
20150717160850P040119580705001,2014-01-01,2014-12-31,001,041110170,742165,28194,713971,762986,0,762986,135754,,,,20821,156575,,,,,107560,107560,49015,,2,,2,,2,,1,762986,2,,2,,2,,2,,2,,2,,2,,1,200000,2,,2,,2,,1,762986,2,1,2,,2,,2,,472053806,BOURNEUF CORPORATION ESOP TRUST,,,,,,,,,,
