ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND
20151013140558P040046221473001,2014-01-01,2014-12-31,001,042460805,174,0,0,0,1675,0,0,0,0,0,0,0,0,144503,0,4979375,0,0,0,0,0,0,0,0,5125727,0,0,0,0,0,5125727,188,0,0,0,1696,0,0,0,0,0,0,0,0,124862,0,4715354,0,0,0,0,0,0,0,0,4842100,0,0,0,0,0,4842100,0,233859,9904,0,243763,21,0,0,0,5698,629,6348,0,0,0,0,0,0,0,0,0,0,0,0,268425,0,0,0,0,518536,799799,0,0,799799,0,0,0,0,714,0,1650,2364,802163,-283627,0,0,3,1,"FEELEY DRISCALL, P.C.",042684828,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20151013141053P040046235489001,2014-01-01,2014-12-23,004,041858810,,,,,717173,,,,,,,,,,,,,,,,,13853284,,,14570457,,,0,,0,14570457,,,,,0,,,,,,,,,,,,,,,,,0,,,0,,,0,,0,0,,,,,0,367,,,,,,367,,198621,,198621,,,,0,,,0,,,,,,-990884,-791896,13772735,,,13772735,,,,,,,5826,5826,13778561,-14570457,,,1,2,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,10000000,2,,2,,2,,2,1,1,2,,1,1,1,0,,,
20150921160954P030010393495001,2014-01-01,2014-12-31,002,743073286,0,0,0,0,636603,0,0,0,0,0,0,0,0,277074,0,0,0,0,4999727,,0,0,0,0,5913404,0,0,0,0,0,5913404,0,0,0,0,685748,0,0,0,0,0,0,0,0,213944,0,0,0,0,3267029,,0,0,0,0,4166721,0,0,0,0,0,4166721,175984,457761,18463,0,652208,66,0,0,0,8601,0,8667,0,0,224007,224007,0,0,0,0,0,0,0,0,0,0,0,-26045,0,858837,2603789,0,0,2603789,0,0,0,0,0,0,1731,1731,2605520,-1746683,0,,3,1,"GRAY, GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,2,2,,,,
20150921070352P030009876359001,2014-01-01,2014-12-31,001,042273500,,,,,,,,,,,,,,192089,,3034595,,,,269480,,,,,3496164,,,,,0,3496164,,,,,,,,,,,,,,172775,,3235157,,,,267228,,,,,3675160,,,,,0,3675160,7010,372427,4736,,384173,,,,,7700,3388,11088,,,,0,,,,0,,,0,182057,,,,,,577318,377631,,,377631,2646,9174,,,,,8871,8871,398322,178996,,,3,1,"KATZ, NANNIS & SOLOMON, PC.",042887211,,2,,2,,2,,2,,1,350000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20151013162319P030042690631001,2014-01-01,2014-12-31,003,521405842,,230494,,,674582,,,,,,,,,,,,,,,,,13917203,,,14822279,,,,4910,4910,14817369,,163,,,783550,,,,,,,,,,,,,,,,,12704153,,,13487866,,,,507,507,13487359,38817,,,,38817,4620,,,,,,4620,,,,0,,,,0,,370072,370072,,,,,,,413509,1743519,,,1743519,,,,,,,,0,1743519,-1330010,,,1,2,MAYER HOFFMAN MCCANN PC,431947695,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,1,2,2,,2,,2,,,,
20151013172222P030046417473001,2014-01-01,2014-12-31,002,042777442,,583,16239,,,,,,,,,,,653972,13724314,6209111,,,18491897,,,,,,39096116,,,,,0,39096116,,103,706,,,,,,,,,,,591378,15114159,7326470,,,18582953,,,,,,41615769,,,,,0,41615769,544696,1585358,271727,,2401781,,,,,21147,,21147,,,157709,157709,,,,0,,,0,851602,778755,,,504536,1472,4717002,2193501,,,2193501,,,,,3848,,,3848,2197349,2519653,,,3,1,GRANT THORNTON LLP,366055558,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20150922131806P040010723613001,2014-01-01,2014-12-31,001,042547913,25,,14334,,,,,,,,,,,375881,3123882,,,,13738341,,,,,,17252463,,,,,0,17252463,0,,16256,,,,,,,,,,,402429,3318654,,,,13910807,,,,,,17648146,,,,,0,17648146,18981,559055,,,578036,,,,,17100,,17100,,,944996,944996,,,,0,,,0,35158,,,,-84881,1500,1491909,1051755,,,1051755,2641,19699,,,,,22131,22131,1096226,395683,,,3,1,"SIEGRIST, CREE, ALESSANDRI & STRAUS",042745810,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20151013174858P040042182519001,2014-01-01,2014-12-31,003,042399903,,6408,32641,,323334,,,,,,,,,157127,,,,,13390422,,,,,,13909932,,,,,,13909932,,7268,38536,,128423,,,,,,,,,216868,,,,,14511285,,,,,,14902380,,,,,,14902380,170448,829363,100315,,1100126,42,,,,7286,,7328,,,825872,825872,,,,,,267515,267515,,,,,-466,,2200375,1182062,,,1182062,20861,,,,,,5004,5004,1207927,992448,,,3,1,"GOSULE, BUTKUS & JESSON, LLP",043442418,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,2,2,2,,2,2,2,,,,
20151014112233P040043618951001,2014-01-01,2014-12-31,002,203724403,,,,,,,,,,,,,,,,,,,,,,10200000,,,10200000,,,24254303,,24254303,-14054303,,,,,,,,,,,,,,,,,,,,,,14480000,,,14480000,,,23616543,,23616543,-9136543,1443003,,,,1443003,,,,,,,0,,,,0,,,,0,,4280000,4280000,,,,,,,5723003,,,,0,,,805243,,,,,0,805243,4917760,,,1,2,"GRAY, GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,
20151014124616P040048512641001,2014-01-01,2014-12-31,002,412126830,,,,1052318,8938,,,,,,,,,,,,,,,,,,,,1061256,,292,,,292,1060964,,,,997731,5372,,,,,,,,,,,,,,,,,,,,1003103,,292,,,292,1002811,,,,,0,1,,,,,,1,,,,0,,,,0,,,0,,,,,,-54587,-54586,67,,,67,,,,,3500,,,3500,3567,-58153,,,1,2,"NARDELLA & TAYLOR, LLP",042979611,,2,,2,,2,,2,,1,3000000,2,,2,,2,,1,2,2,2,,2,,1,0,,,
