ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20180321111726P030000457225001,2017-01-01,2017-12-31,002,455603992,1395294,0,1395294,1866,0,1866,,,,,5726,5726,1399154,,,,,1399154,-1393428,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,3000000,2,,2,,2,,2,,2,1,2,,2,,1,0,,,,,,,,,,,,
20181011103855P030011571429001,2017-01-01,2017-12-31,002,043520315,945000,1479288,-534288,900000,1308351,-408351,274487,,,13890,-45000,243377,13890,,,,103550,117440,125937,,2,,2,,2,,1,900000,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,900000,2,1,2,,2,,2,,,,,,,,,,,,,
20181011104023P030170689757001,2017-01-01,2017-12-31,003,042188202,2790283,7040,2783243,2957316,18540,2938776,100000,,,,104715,204715,47138,,,2044,,49182,155533,,2,,2,,2,,1,1828066,2,,2,,2,,2,,2,,2,,2,,1,300000,2,,2,,2,,1,1828066,2,1,2,,2,2,2,,,,,,,,,,,,,
20180730104303P030091044983001,2017-01-01,2017-12-31,002,042804642,2204048,1640000,564048,2546165,1354632,1191533,384421,,,,342117,726538,28205,,,,70848,99053,627485,,2,,2,,2,,1,2546165,2,,2,,2,,2,,2,,2,,2,,1,400000,2,,2,,2,,1,2546165,2,1,2,,2,,2,,,,,,,,,,,,,
20180730105920P030091079687001,2017-01-01,2017-12-31,003,042274728,998355,,998355,1135958,,1135958,42776,0,0,0,124956,167732,30129,0,0,0,0,30129,137603,,2,,2,,2,,1,1135958,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,1135958,2,1,2,,2,2,2,,,,,,,,,,,,,
20180730111011P040090114007001,2017-01-01,2017-12-31,003,043347358,8150000,6720588,1429412,7170000,6294593,875407,477505,,,,-701399,-223894,3756,,,,326355,330111,-554005,,2,,2,,2,,1,7170000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,7170000,2,1,2,,2,,2,,,,,,,,,,,,,
20181011112705P040247519751001,2017-01-01,2017-12-31,003,042264013,1709077,0,1709077,1109076,0,1109076,0,0,0,0,0,0,600001,0,0,0,0,600001,-600001,0,2,,2,,2,,1,1109076,2,,2,,2,,2,,2,,2,,2,,1,325000,2,,2,,2,,1,1109076,2,1,2,,2,,2,,,,,,,,,,,,,
20180730125713P030069414237001,2017-01-01,2017-12-31,002,042044378,15705567,2818764,12886803,15499820,2317098,13182722,289378,,,,623470,912848,496358,,,,120571,616929,295919,,2,,2,,2,,1,13624280,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,13624280,2,1,2,,2,,2,,,,,,,,,,,,,
20181015155908P030010519529001,2017-01-01,2017-12-31,002,651174540,270000,,270000,288478,312166,-23688,147627,,,,-426454,-278827,12527,,,,2334,14861,-293688,,2,,2,,2,,1,263546,2,,2,,2,,2,,2,,2,,2,,1,27000,2,,2,,2,,1,263546,2,1,2,,2,,2,,,,,,,,,,,,,
20180820141743P030100762589001,2017-01-01,2017-12-31,001,042372206,14651260,,14651260,18669941,,18669941,270692,392885,460168,,3623573,4747318,699572,,,,29065,728637,4018681,,2,,2,,2,,1,10937025,1,46556,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,10937025,2,1,2,,2,,2,,,,,,,,,,,,,
20181012100022P030094835727001,2017-01-01,2017-12-31,002,042086300,175955,1990,173965,775150,1990,773160,30084,,,,598895,628979,28474,,,,1310,29784,599195,,2,,2,,2,,1,760359,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,760359,2,1,2,,2,,2,,,,,,,,,,,,,
