ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20220511080637NAL0014350209001,2021-01-01,2021-12-31,001,042444641,6738448,,6738448,12014148,3331947,8682201,500063,,,,1447005,1947068,3315,,,,,3315,1943753,,2,,2,,2,,1,12008625,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,12008625,2,1,2,,2,,2,,,,,,,,,,,,,
20220520084654NAL0002993603001,2021-01-01,2021-12-31,002,042804642,2423096,533003,1890093,3410066,259669,3150397,477678,,,,883709,1361387,78057,,,,23026,101083,1260304,,2,,2,,2,,1,3306072,2,,2,,2,,2,,2,,2,,2,,1,400000,2,,2,,2,,1,3306072,2,1,2,,2,,2,,,,,,,,,,,,,
20220323143835NAL0006005267001,2021-01-01,2021-12-31,003,042837729,14147352,2195056,11952296,16902971,1937319,14965652,357714,0,0,0,2851451,3209165,96971,0,0,0,98838,195809,3013356,0,2,,2,,2,,1,16900448,2,,2,,2,,2,0,2,0,2,0,2,0,1,500000,2,,2,,2,,1,16900448,2,1,2,,2,,2,0,,,,,,,,,,,,
20220418090439NAL0045141506001,2021-01-01,2021-12-31,004,042272126,19966894,1702932,18263962,46414028,18710405,27703623,732357,,,,9621798,10354155,874664,,,,39830,914494,9439661,,2,,2,,2,,1,44634000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,44634000,2,1,2,,2,,2,,,,,,,,,,,,,
20230613155015NAL0072148978001,2021-09-01,2022-08-31,003,043247749,12248700,0,12248700,15272204,1100013,14172191,1314596,0,0,0,2067146,3381742,1456678,0,0,0,0,1456678,1925064,-1573,2,,2,,2,,1,13633953,2,,2,,2,,2,0,2,0,2,0,2,0,1,500000,2,,2,,2,,1,13633953,2,1,2,,2,,2,0,,,,,,,,,,,,
20220819101658NAL0007121058001,2021-01-01,2021-12-31,002,042943867,5904750,1508402,4396348,8967186,9639605,-672419,248187,,,,-5232108,-4983921,31852,,,4305,48689,84846,-5068767,,2,,2,,2,,1,8284080,2,,2,,2,,2,,2,,2,,2,,1,506599,2,,2,,2,,1,8284080,2,1,2,,2,,2,,,,,,,,,,,,,
20220919082506NAL0025922547001,2021-01-01,2021-12-31,002,043130236,34549160,5082081,29467079,52782810,4849675,47933135,1587918,,,,17576000,19163918,542350,,,,155512,697862,18466056,,2,,2,,2,,1,51434000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,51434000,2,1,2,,2,,2,,,,,,,,,,,,,
20220919122747NAL0072498434001,2021-01-01,2021-12-31,002,043258366,1146017,1584,1144433,1942951,15076,1927875,345920,,,,585191,931111,147639,,,,30,147669,783442,,2,,2,,2,,1,1728031,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,1728031,2,1,2,,2,,2,,,,,,,,,,,,,
20220919135742NAL0026042515001,2021-04-01,2022-03-31,002,042587894,48000,2474880,-2426880,2738000,2360701,377299,149817,,,,2690000,2839817,,,,,35638,35638,2804179,,2,,2,,2,,1,2738000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2738000,2,1,2,,2,,2,,,,,,,,,,,,,
20220830115458NAL0030201554001,2021-01-01,2021-12-31,002,043223296,5651192,,5651192,5088541,,5088541,415256,,,,-531619,-116363,439214,,,7074,,446288,-562651,,2,,2,,2,,1,3857004,2,,2,,2,,2,,2,,2,,2,,1,580000,2,,1,4379493,2,,2,,2,1,2,,2,,2,,,,,,,,,,,,,
