ACK_ID,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SCH_I_PLAN_NUM,SCH_I_EIN,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DEEM_DSTRB_PARTCP_LN_AMT,SMALL_ADMIN_SRVC_PROVIDERS_AMT,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INV_REAL_ESTATE_EOY_IND,SMALL_INV_REAL_ESTATE_EOY_AMT,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_TRANSM_CONTRIB_IND,SMALL_FAIL_TRANSM_CONTRIB_AMT,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SM_PARTY_IN_INT_NOT_RPTD_IND,SM_PARTY_IN_INT_NOT_RPTD_AMT,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,SM_WAIV_ANNUAL_IQPA_REPORT_IND,SM_FAIL_PROVIDE_BENEF_DUE_IND,SM_FAIL_PROVIDE_BENEF_DUE_AMT,SMALL_PLAN_BLACKOUT_PERIOD_IND,SM_COMPLY_BLACKOUT_NOTICE_IND,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,SMALL_COVERED_PBGC_INS_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHONE_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER
20250403104702NAL0010182801001,2024-01-01,2024-12-31,003,042274728,1447609,,1447609,1485241,,1485241,0,0,0,0,59689,59689,22057,0,0,0,0,22057,37632,0,2,,2,,2,,1,1485241,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,1485241,2,1,2,,2,2,2,,,,,,,,,,,,,
20250520131618NAL0001944819001,2024-01-01,2024-12-31,002,043177356,1268000,1486711,-218711,1031367,1437345,-405978,101344,0,0,0,-251939,-150595,17143,0,0,0,19529,36672,-187267,0,2,,2,,2,,1,1016000,2,,2,,2,,2,0,2,0,2,0,2,0,1,500000,2,,2,,2,,1,1016000,2,1,2,,2,,2,0,,,,,,,,,,,,
20250727115956NAL0000306307001,2024-01-01,2024-12-31,002,042804642,4110185,,4110185,4004083,,4004083,253166,,,,-94504,158662,264737,,,,27,264764,-106102,,2,,2,,2,,1,399584,2,,2,,2,,2,,2,,2,,2,,1,400000,2,,2,,2,,1,399584,2,1,2,,2,,2,,,,,,,,,,,,,
20250513091800NAL0017619633001,2024-01-01,2024-12-31,001,043577380,1778773,,1778773,1640008,111,1639897,,,,,16144,16144,153940,,,,1080,155020,-138876,,2,,2,,2,,1,1228000,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,1228000,2,1,2,,2,,2,,,,,,,,,,,,,
20250521084248NAL0006488162001,2024-01-01,2024-12-31,002,041810570,687629,,687629,504065,,504065,,,,,-4320,-4320,179244,,,,,179244,-183564,,2,,2,,2,,1,504065,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,652395,2,1,2,,2,2,2,,,,,,,,,,,,,
20250521131441NAL0001864497001,2024-12-31,2025-04-23,002,041810570,504065,,504065,0,,0,,,,,,,504065,,,,,504065,-504065,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,504065,1,1,2,,2,2,2,,,,,,,,,,,,,
20250320124809NAL0004826243001,2024-01-01,2024-12-17,003,743073286,2381746,0,2381746,0,0,0,0,0,0,0,12112,12112,2380023,0,0,13835,0,2393858,-2381746,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,2,,1,1,2,,2,,1,0,,,,,,,,,,,,
20250821085947NAL0007633634001,2024-01-01,2024-12-31,002,042300185,16110989,15340302,770687,27046434,14922120,12124314,715361,0,0,0,10935445,11650806,1838,0,0,0,295341,297179,11353627,0,2,,2,,2,,1,27036677,2,,2,,2,,2,0,2,0,2,0,2,0,1,200000,2,,2,,2,,1,27036677,2,1,2,,2,,2,0,,,,,,,,,,,,
20250402175409NAL0017996322001,2024-01-01,2024-12-31,003,042837729,23601599,1386530,22215069,20592589,1092410,19500179,356514,,,,,356514,3008950,,,,62454,3071404,-2714890,,2,,2,,2,,1,20590532,2,,2,,2,,2,,2,,2,,2,,1,500000,2,,2,,2,,1,20590532,2,1,2,,2,,1,0,,,,,,,,,,,,
20250811164351NAL0021249938001,2024-01-01,2024-12-31,002,208135911,11783000,376284,11406716,12477000,353718,12123282,87839,,,,694000,781839,55164,,,175,9934,65273,716566,,2,,2,,2,,1,12477000,2,,2,,2,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,12477000,2,1,2,,2,,2,,,,,,,,,,,,,
