ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER,ACCT_PERF_LTD_AUDIT_103_8_IND,ACCT_PERF_LTD_AUDIT_103_12_IND,ACCT_PERF_NOT_LTD_AUDIT_IND,SALARIES_ALLOWANCES_AMT,OTH_RECORDKEEPING_FEES_AMT,IQPA_AUDIT_FEES_AMT,TRUSTEE_CUSTODIAL_FEES_AMT,ACTUARIAL_FEES_AMT,LEGAL_FEES_AMT,VALUATION_APPRAISAL_FEES_AMT,OTHER_TRUSTEE_FEES_EXPENSES_AMT
20171003121534P040177088679001,2016-01-01,2016-12-31,002,412126830,,,,993942,1837,,,,,,,,,,,,,,,,,,,,995779,,292,,,292,995487,,,,524486,331,,,,,,,,,,,,,,,,,,,,524817,,0,,,0,524817,,,,,0,2,,,,,,2,,,,0,,,,0,,,0,,,,,,-469457,-469455,44,,,44,,,,,,,1171,1171,1215,-470670,,,1,2,"NARDELLA & TAYLOR, LLP",042979611,,2,,2,,2,,2,,1,3000000,2,,2,,2,,1,2,2,2,,2,,1,0,,,,,,,,,,,,,,,,,,,,,,,
20171002081918P030169053095001,2016-01-01,2016-12-31,001,041682990,,,,,,,,,,,,,,,,,,,,,,4420727,,,4420727,,,,,0,4420727,,,,,,,,,,,,,,,,,,,,,,5179695,,,5179695,,,,,0,5179695,,,,,0,,,,,,,0,,,,0,,,,0,,1064321,1064321,,,,,,,1064321,305353,,,305353,,,,,,,,0,305353,758968,,,1,2,CLIFTONLARSONALLEN LLP,410746749,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20171003094100P030005324873001,2016-01-01,2016-12-31,002,042547913,,0,,0,0,,,,,,,,,,,,,,,,,22294887,,,22294887,,,2725151,,2725151,19569736,,14791,,4,14459,,,,,,,,,,,,,,,,,29284634,,,29313888,,,2571300,,2571300,26742588,735366,,,,735366,48,,,,,,48,,,,0,,,,0,,6989748,6989748,,,,,,,7725162,416052,,,416052,,,136258,,,,,0,552310,7172852,,,1,2,"SIEGRIST, CREE, ALESSANDRI & STRAUS",042745810,,2,,2,,2,,2,,1,1500000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20171002083436P040149907709001,2016-01-01,2016-12-31,002,203724403,,,,,,,,,,,,,,,,,,,,,,18160000,,,18160000,,,22957610,,22957610,-4797610,,,,,,,,,,,,,,,,,,,,,,23200000,,,23200000,,,22276800,,22276800,923200,1445212,,,,1445212,,,,,,,0,,,,0,,,,0,,5040000,5040000,,,,,,,6485212,2209,,,2209,,,762193,,,,,0,764402,5720810,,,1,2,"GRAY, GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,161486454,VERTEX EMPLOYEE STOCK OWNERSHIP TRUST,,,,,,WILLMINGTON TRUST & INSTITUTIONAL SERVICES CO.,3026518476,,,,,,,,,,,,,,
20171005091332P040203909649001,2016-01-01,2016-12-31,002,042925204,,781367,,,125516,,,,,,,,,,,,,,,,,38909973,,,39816856,,,50966078,300000,51266078,-11449222,,719245,,,125543,,,,,,,,,,,,,,,,,36688133,,,37532921,,,44903180,3181449,48084629,-10551708,1516525,,,,1516525,27,,,,,,27,,3169454,,3169454,,,,0,,-2221840,-2221840,,,,,,,2464166,,,,0,,,1566652,,,,,0,1566652,897514,,,1,2,RSM US LLP,420714320,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,471191322,HARPOON BREWERY EMPLOYEE STOCK OWNERSHIP TRUST,,,,,,THE ESOP TRUST COMMITTEE,6175749551,,,,,,,,,,,,,,
20171005084616P040181391255001,2016-01-01,2016-12-31,003,042777442,,320000,0,51,666651,,,,,,,,,,,,,,,,,16451620,,,17438322,1488,0,0,0,1488,17436834,,340000,0,141,635153,,,,,,,,,,,,,,,,,19213814,,,20189108,383,,,,383,20188725,340000,0,0,0,340000,1328,0,0,0,,0,1328,0,610752,0,610752,0,0,0,0,0,2811612,2811612,0,0,0,0,0,-6551,3757141,1005250,0,0,1005250,0,,0,0,0,0,0,0,1005250,2751891,0,,1,2,BAKER NEWMAN NOYES,010494526,,2,0,2,0,2,0,2,0,1,15000000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20170928075324P040187661889001,2016-01-01,2016-12-31,003,041466100,0,,,,3000,,,,,,,,,,,,,,,,,34855848,,,34858848,,,21458854,,21458854,13399994,0,,,4093,19465,,,,,,,,,,,,,,,,,42658763,,,42682321,,,20995286,,20995286,21687035,984733,0,,,984733,200,,,,,,200,,250366,,250366,,0,0,0,,7831753,7831753,0,,,,,0,9067052,28951,,,28951,,,751060,,,,,,780011,8287041,,,1,2,WOLF AND COMPANY P.C.,042689883,,2,,2,,2,,2,,1,8000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20170721081834P030047339885003,2016-01-01,2016-12-31,003,041123740,6137,,,134970,,,,,,,,,,,,,,,918194,,,4669141,,,5728442,,,,,,5728442,6137,,,165300,,,,,,,,,,,,,,,878565,,,6108507,,,7158509,,,,,,7158509,,,,,,,,,,,,,,166761,,166761,,,,,,1439296,1439296,,,,,,,1606057,175990,,,175990,,,,,,,,,175990,1430067,,,1,2,"PKF, PC",043138777,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
20170724142952P040055601639001,2016-01-01,2016-12-31,003,042041237,0,,,516,970673,,,,,498380,,,,,,,,,3106317,,,21126044,,,25701930,,,4378203,,4378203,21323727,0,,,1277,3596471,,,,,885102,,,,,,,,,6639602,,,15714382,,,26836834,,,2989449,,2989449,23847385,1088630,,,,1088630,16541,,,,,,16541,,8660459,108023,8768482,,,,0,,-5411662,-5411662,,,,,110711,,4572702,1766355,,,1766355,,,273638,,,9051,,9051,2049044,2523658,,,1,2,"BLUM, SHAPIRO AND COMPANY, P.C",061009205,,2,,2,,2,,2,,1,5000000,2,,2,,2,,1,1,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20170724134302P030056571591001,2016-01-01,2016-12-31,002,471008886,,3709,,,0,,,,,,,,,,,,,,,,,18620000,,,18623709,0,,1183269,,1183269,17440440,,2862,,,63,,,,,,,,,,,,,,,,,26640000,,,26642925,580,,1120234,,1120814,25522111,110708,,,,110708,,,,,,,0,,,,0,,,,0,,8020000,8020000,,,,,,,8130708,3517,,,3517,,,45520,,,,,0,49037,8081671,,,1,2,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
