ACK_ID,SCH_H_PLAN_YEAR_BEGIN_DATE,SCH_H_TAX_PRD,SCH_H_PN,SCH_H_EIN,NON_INT_BEAR_CASH_BOY_AMT,EMPLR_CONTRIB_BOY_AMT,PARTCP_CONTRIB_BOY_AMT,OTHER_RECEIVABLES_BOY_AMT,INT_BEAR_CASH_BOY_AMT,GOVT_SEC_BOY_AMT,CORP_DEBT_PREFERRED_BOY_AMT,CORP_DEBT_OTHER_BOY_AMT,PREF_STOCK_BOY_AMT,COMMON_STOCK_BOY_AMT,JOINT_VENTURE_BOY_AMT,REAL_ESTATE_BOY_AMT,OTHER_LOANS_BOY_AMT,PARTCP_LOANS_BOY_AMT,INT_COMMON_TR_BOY_AMT,INT_POOL_SEP_ACCT_BOY_AMT,INT_MASTER_TR_BOY_AMT,INT_103_12_INVST_BOY_AMT,INT_REG_INVST_CO_BOY_AMT,INS_CO_GEN_ACCT_BOY_AMT,OTH_INVST_BOY_AMT,EMPLR_SEC_BOY_AMT,EMPLR_PROP_BOY_AMT,BLDGS_USED_BOY_AMT,TOT_ASSETS_BOY_AMT,BNFTS_PAYABLE_BOY_AMT,OPRTNG_PAYABLE_BOY_AMT,ACQUIS_INDBT_BOY_AMT,OTHER_LIAB_BOY_AMT,TOT_LIABILITIES_BOY_AMT,NET_ASSETS_BOY_AMT,NON_INT_BEAR_CASH_EOY_AMT,EMPLR_CONTRIB_EOY_AMT,PARTCP_CONTRIB_EOY_AMT,OTHER_RECEIVABLES_EOY_AMT,INT_BEAR_CASH_EOY_AMT,GOVT_SEC_EOY_AMT,CORP_DEBT_PREFERRED_EOY_AMT,CORP_DEBT_OTHER_EOY_AMT,PREF_STOCK_EOY_AMT,COMMON_STOCK_EOY_AMT,JOINT_VENTURE_EOY_AMT,REAL_ESTATE_EOY_AMT,OTHER_LOANS_EOY_AMT,PARTCP_LOANS_EOY_AMT,INT_COMMON_TR_EOY_AMT,INT_POOL_SEP_ACCT_EOY_AMT,INT_MASTER_TR_EOY_AMT,INT_103_12_INVST_EOY_AMT,INT_REG_INVST_CO_EOY_AMT,INS_CO_GEN_ACCT_EOY_AMT,OTH_INVST_EOY_AMT,EMPLR_SEC_EOY_AMT,EMPLR_PROP_EOY_AMT,BLDGS_USED_EOY_AMT,TOT_ASSETS_EOY_AMT,BNFTS_PAYABLE_EOY_AMT,OPRTNG_PAYABLE_EOY_AMT,ACQUIS_INDBT_EOY_AMT,OTHER_LIAB_EOY_AMT,TOT_LIABILITIES_EOY_AMT,NET_ASSETS_EOY_AMT,EMPLR_CONTRIB_INCOME_AMT,PARTICIPANT_CONTRIB_AMT,OTH_CONTRIB_RCVD_AMT,NON_CASH_CONTRIB_BS_AMT,TOT_CONTRIB_AMT,INT_BEAR_CASH_AMT,INT_ON_GOVT_SEC_AMT,INT_ON_CORP_DEBT_AMT,INT_ON_OTH_LOANS_AMT,INT_ON_PARTCP_LOANS_AMT,INT_ON_OTH_INVST_AMT,TOTAL_INTEREST_AMT,DIVND_PREF_STOCK_AMT,DIVND_COMMON_STOCK_AMT,REGISTERED_INVST_AMT,TOTAL_DIVIDENDS_AMT,TOTAL_RENTS_AMT,AGGREGATE_PROCEEDS_AMT,AGGREGATE_COSTS_AMT,TOT_GAIN_LOSS_SALE_AST_AMT,UNREALZD_APPRCTN_RE_AMT,UNREALZD_APPRCTN_OTH_AMT,TOT_UNREALZD_APPRCTN_AMT,GAIN_LOSS_COM_TRUST_AMT,GAIN_LOSS_POOL_SEP_AMT,GAIN_LOSS_MASTER_TR_AMT,GAIN_LOSS_103_12_INVST_AMT,GAIN_LOSS_REG_INVST_AMT,OTHER_INCOME_AMT,TOT_INCOME_AMT,DISTRIB_DRT_PARTCP_AMT,INS_CARRIER_BNFTS_AMT,OTH_BNFT_PAYMENT_AMT,TOT_DISTRIB_BNFT_AMT,TOT_CORRECTIVE_DISTRIB_AMT,TOT_DEEMED_DISTR_PART_LNS_AMT,TOT_INT_EXPENSE_AMT,PROFESSIONAL_FEES_AMT,CONTRACT_ADMIN_FEES_AMT,INVST_MGMT_FEES_AMT,OTHER_ADMIN_FEES_AMT,TOT_ADMIN_EXPENSES_AMT,TOT_EXPENSES_AMT,NET_INCOME_AMT,TOT_TRANSFERS_TO_AMT,TOT_TRANSFERS_FROM_AMT,ACCTNT_OPINION_TYPE_CD,ACCT_PERFORMED_LTD_AUDIT_IND,ACCOUNTANT_FIRM_NAME,ACCOUNTANT_FIRM_EIN,ACCT_OPIN_NOT_ON_FILE_IND,FAIL_TRANSMIT_CONTRIB_IND,FAIL_TRANSMIT_CONTRIB_AMT,LOANS_IN_DEFAULT_IND,LOANS_IN_DEFAULT_AMT,LEASES_IN_DEFAULT_IND,LEASES_IN_DEFAULT_AMT,PARTY_IN_INT_NOT_RPTD_IND,PARTY_IN_INT_NOT_RPTD_AMT,PLAN_INS_FDLTY_BOND_IND,PLAN_INS_FDLTY_BOND_AMT,LOSS_DISCV_DUR_YEAR_IND,LOSS_DISCV_DUR_YEAR_AMT,ASSET_UNDETERM_VAL_IND,ASSET_UNDETERM_VAL_AMT,NON_CASH_CONTRIB_IND,NON_CASH_CONTRIB_AMT,AST_HELD_INVST_IND,FIVE_PRCNT_TRANS_IND,ALL_PLAN_AST_DISTRIB_IND,FAIL_PROVIDE_BENEFIT_DUE_IND,FAIL_PROVIDE_BENEFIT_DUE_AMT,PLAN_BLACKOUT_PERIOD_IND,COMPLY_BLACKOUT_NOTICE_IND,RES_TERM_PLAN_ADPT_IND,RES_TERM_PLAN_ADPT_AMT,FDCRY_TRUST_EIN,FDCRY_TRUST_NAME,COVERED_PBGC_INSURANCE_IND,TRUST_INCUR_UNREL_TAX_INC_IND,TRUST_INCUR_UNREL_TAX_INC_AMT,IN_SERVICE_DISTRIB_IND,IN_SERVICE_DISTRIB_AMT,FDCRY_TRUSTEE_CUST_NAME,FDCRY_TRUST_CUST_PHON_NUM,FDCRY_TRUST_CUST_PHON_NU_FORE,DISTRIB_MADE_EMPLOYEE_62_IND,PREMIUM_FILING_CONFIRM_NUMBER,ACCT_PERF_LTD_AUDIT_103_8_IND,ACCT_PERF_LTD_AUDIT_103_12_IND,ACCT_PERF_NOT_LTD_AUDIT_IND,SALARIES_ALLOWANCES_AMT,OTH_RECORDKEEPING_FEES_AMT,IQPA_AUDIT_FEES_AMT,TRUSTEE_CUSTODIAL_FEES_AMT,ACTUARIAL_FEES_AMT,LEGAL_FEES_AMT,VALUATION_APPRAISAL_FEES_AMT,OTHER_TRUSTEE_FEES_EXPENSES_AMT
20180627114125P030016753837001,2017-01-01,2017-12-31,003,042557451,0,,,,,,,,,,,,,,,,,,,,,108886151,,,108886151,,,4894510,,4894510,103991641,0,,,,,,,,,,,,,,,,,,,,,139412500,,,139412500,,,16869927,,16869927,122542573,487619,,,,487619,,,,,,,0,,,,0,,,,0,,24923588,24923588,,,,,,,25411207,6591077,,,6591077,,,269198,,,,,0,6860275,18550932,,,1,2,"BDO USA, LLP",135381590,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20180917121658P030185650359001,2017-01-01,2017-12-31,002,412126830,,,,524486,331,,,,,,,,,,,,,,,,,,,,524817,,0,,,0,524817,,,,0,206359,,,,,,,,,,,,,,,,,,,,206359,,0,,,0,206359,,,,,0,1864,,,,,,1864,,,,0,,,,0,,,0,,,,,,,1864,320322,,,320322,,,,,,,,0,320322,-318458,,,3,1,"NARDELLA & TAYLOR, LLP",042979611,,2,,2,,2,,2,,1,3000000,2,,2,,2,,1,2,2,2,,2,,1,0,,,,,,,,,,,,,,,,,,,,,,,
20181003160533P040245918913001,2017-01-01,2017-12-31,002,042803764,,,,,,,,,,,,,,,,,,,,,,18000000,,,18000000,,,13840000,,13840000,4160000,,,,,,,,,,,,,,,,,,,,,,23550000,,,23550000,,,12975000,,12975000,10575000,1474050,,,,1474050,,,,,,,0,,,,0,,,,0,,5550000,5550000,,,,,,,7024050,33306,,,33306,,,575744,,,,,0,609050,6415000,,,1,2,"GRAY, GRAY, & GRAY, LLP",042088368,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20180724144026P030079262807001,2017-01-01,2017-12-31,003,043402944,,,,,308275,,,,,,,,,,,,,,,,,14769348,,,15077623,,,1501914,,1501914,13575709,,,,,286591,,,,,,,,,,,,,,,,,13213340,,,13499931,,,1251914,,1251914,12248017,337809,,,,337809,1536,,,,,,1536,,311204,,311204,,,,0,,-669452,-669452,,,,,,,-18903,1157305,,,1157305,,,119643,31841,,,,31841,1308789,-1327692,,,1,2,BATCHELOR FRECHETTE MCCRORY MICHAEL,050487888,,2,,2,,2,,2,,1,7000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20180910085316P030182135633001,2017-01-01,2017-12-31,002,203724403,,,,,,,,,,,,,,,,,,,,,,23200000,,,23200000,,,22276800,,22276800,923200,,,,,,,,,,,,,,,,,,,,,,22040000,,,22040000,,,21573386,,21573386,466614,1497666,,,,1497666,,,,,,,0,,,,0,,,,0,,-1160000,-1160000,,,,,,,337666,54663,,,54663,,,739589,,,,,0,794252,-456586,,,1,2,"GRAY, GRAY & GRAY, LLP",042088368,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20180913091153P040182435511001,2017-01-01,2017-12-31,004,042389826,,0,0,0,1731744,,,,,,,,,89906,,,,,4269341,,,8166977,,,14257968,0,0,0,0,0,14257968,,0,0,0,2109828,,,,,,,,,107137,,,,,5230610,,,9619749,,,17067324,,,,,0,17067324,1204740,0,0,0,1204740,515,0,0,0,3210,0,3725,0,0,107760,107760,0,0,0,0,0,1770250,1770250,0,0,0,0,212364,160931,3459770,617150,0,0,617150,0,0,0,0,0,33264,0,33264,650414,2809356,0,,1,2,"KAHN, LITWIN, RENZA & CO., LTD",050409384,,2,0,2,0,2,0,2,0,1,1100000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20180730162104P030069716765001,2017-01-01,2017-12-31,002,471008886,0,2862,,,63,,,,,,,,,,,,,,,,,26640000,,,26642925,580,,1120234,,1120814,25522111,0,9546,,,90,,,,,,,,,,,,,,,,,40980000,,,40989636,0,,1070578,,1070578,39919058,186438,,,,186438,,,,,,,0,,,,0,,,,0,,14340000,14340000,,,,,,,14526438,81981,,,81981,,,47510,,,,,0,129491,14396947,,,1,2,"WOLF & COMPANY, P.C.",042689883,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20180712135504P040054381383001,2017-01-01,2017-12-31,002,042445292,,,,,790827,,,,,,,,,,,,,,1392130,,624199,16882227,,,19689383,,,,,,19689383,,,,,1302961,60715,,38927,1320,258416,,,,,,,,,1172220,,642143,18032693,,,21509395,,,,3270,3270,21506125,420000,,,,420000,7315,,,,,20787,28102,,236622,29608,266230,,,,,,1177145,1177145,,,,,106038,,1997515,173867,,,173867,,,,,,,6906,6906,180773,1816742,,,1,2,"SULLIVAN BILLE, P.C.",043296201,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
20180725074606P040087458033001,2017-01-01,2017-12-31,002,042821431,,622000,0,0,24927,,,,,,,,,,,,,,,,,10700550,,,11347477,0,0,0,0,0,11347477,,1300000,0,0,82008,,,,,,,,,,,,,,,,,13060350,,,14442358,,,,,0,14442358,1300000,0,0,0,1300000,1164,0,0,0,,0,1164,0,0,0,0,0,0,0,0,0,2359800,2359800,0,0,0,0,0,0,3660964,528988,0,0,528988,0,,0,0,0,0,0,0,528988,3131976,0,37095,1,2,"DICICCO, GULMAN & COMPANY LLP",043296226,,2,0,2,0,2,0,2,0,1,1000000,2,,2,,2,,1,2,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
20180725093930P040087750097003,2017-01-01,2017-12-31,003,041123740,6137,,,165300,,,,,,,,,,,,,,,878565,,,6108507,,,7158509,,,,,,7158509,6137,,,176320,,,,,,,,,,,,,,,1004774,,,6676544,,,7863775,,,,,,7863775,,,,,,,,,,,,,,183695,,183695,,,,,,568012,568012,,,,,,,751707,46441,,,46441,,,,,,,,,46441,705266,,,1,2,"PKF, PC",043138777,,2,,2,,2,,2,,1,1000000,2,,2,,2,,1,2,2,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
