filing_year,ein,plan_num,plan_name,sponsor_name,sponsor_city,sponsor_state,sponsor_zip,type_plan_entity,type_pension_bnft,is_esop,is_ksop,total_participants,active_participants,total_assets,total_liabilities,employer_contributions,participant_contributions,benefits_paid,net_income,employer_securities,naics_code,industry_sector,plan_eff_date
2014,41866480,4,THE L. S. STARRETT COMPANY 2013 EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,The L. S. Starrett Company,Athol,MA,13311915,2,,1,0,893,699,1134766.0,100.0,,,58666.0,-54285.0,1134662.0,332210,Manufacturing,2013-02-05
2014,41967105,1,J.F. WHITE EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,J.F. White,Framingham,MA,17014692,2,,1,0,206,0,0.0,0.0,0.0,0.0,78448214.0,-77706918.0,,237310,Construction,1973-10-01
2014,42041237,3,"CHANNING BETE COMPANY, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Channing Bete Company, Inc.",South Deerfield,MA,13730200,2,,1,0,198,124,18940406.0,5703980.0,2234635.0,,3120297.0,-180710.0,15246636.0,323100,Manufacturing,1996-01-01
2014,42041968,3,"BROOKFIELD ENGINEERING LABORATORIES, INC., EMPLOYEE STOCK OWNERSHIP PLAN, STOCK BONUS PLAN","Brookfield Engineering Laboratories, Inc.",Middleboro,MA,2346,2,,1,0,180,178,63602956.0,1000.0,313695.0,,2384536.0,5924038.0,47589239.0,,,1992-08-01
2014,42044378,2,"WILLIAMS STONE CO., INC. EMPLOYEE STOCK OWNERSHIP PLAN","Williams Stone Co., Inc.",East Otis,MA,1029,2,,1,0,46,38,13023777.0,4246156.0,262666.0,,136889.0,1881091.0,,212310,"Mining, Oil & Gas",2005-01-01
2014,42079638,1,"HABERMAN INSURANCE GROUP, INC. 401(K) AND ESOP","Haberman Insurance Group, Inc.",West Springfield,MA,10891311,2,,1,1,30,16,1011271.0,,0.0,19590.0,85090.0,21568.0,,,,1997-01-01
2014,42086300,2,FRASER ENGINEERING COMPANY EMPLOYEE STOCK OWNERSHIP PLAN,Fraser Engineering Company,Newton,MA,24609142,2,,1,0,111,57,1202463.0,1990.0,177305.0,,174654.0,99742.0,,238220,Construction,2003-01-01
2014,42170946,2,"PAUL K. GUILLOW, INC. EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST","Paul K. Guillow, Inc.",Wakefield,MA,18800329,2,,1,0,48,36,872808.0,0.0,26937.0,0.0,57435.0,-12531.0,,321900,Manufacturing,1986-11-01
2014,42188202,3,"WIREFAB, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Wirefab, Inc.",Worcester,MA,1607,2,,1,0,33,32,2519510.0,7040.0,50000.0,,1792.0,81449.0,,332610,Manufacturing,1991-01-01
2014,42224182,2,ADCOLE CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN,Adcole Corporation,Marlborough,MA,1752,2,,1,0,137,122,583780.0,,582500.0,,1693644.0,-1693709.0,,334500,Manufacturing,1995-01-01
2014,42259905,4,COUNTRY CURTAINS EMPLOYEE STOCK OWNERSHIP PLAN,Country Curtains,Stockbridge,MA,1262,2,,1,0,367,270,12568851.0,4042683.0,442508.0,0.0,1375752.0,-2135658.0,12471324.0,454110,Retail Trade,1995-07-01
2014,42264013,3,"D.N. LUKENS, INC. EMPLOYEE STOCK OWNERSHIP PLAN","D.N. Lukens, Inc.",Westboro,MA,15811023,2,,1,0,26,17,2859765.0,0.0,34232.0,0.0,31123.0,259765.0,,424600,Wholesale Trade,1977-01-01
2014,42272126,4,"CAPE COD LUMBER CO., INC. EMPLOYEE STOCK OWNERSHIP PLAN","Cape Cod Lumber Co., Inc.",Abington,MA,2351,2,,1,0,82,83,600000.0,0.0,600000.0,,,600000.0,,423300,Wholesale Trade,2014-01-01
2014,42274728,3,FEINGOLD & FEINGOLD INSURANCE AGENCY INC. EMPLOYEE STOCK OWNERSHIP PLAN,Feingold & Feingold Insurance Agency Inc.,Worcester,MA,1608,2,,1,0,26,17,1182373.0,,38027.0,,40771.0,316632.0,,524210,Finance & Insurance,1988-01-01
2014,42278461,3,"RUSSELECTRIC, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Russelectric, Inc.",Hingham,MA,2043,2,,1,0,425,328,19433122.0,15594583.0,250774.0,0.0,70726.0,1456760.0,19071600.0,335900,Manufacturing,2010-07-01
2014,42279997,4,THE COMREX CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN,The Comrex Corporation,Devens,MA,14324462,2,,1,0,22,21,2059864.0,86095.0,90314.0,,423858.0,-234203.0,,334310,Manufacturing,1997-07-01
2014,42298684,1,"THE MMR GROUP, INC. EMPLOYEE STOCK OWNERSHIP PLAN","The Mmr Group, Inc.",West Boylston,MA,15832115,2,,1,0,63,42,5200416.0,416.0,171964.0,,5171964.0,-3400416.0,,339900,Manufacturing,1975-07-01
2014,42301242,3,"GOODY, CLANCY AND ASSOCIATES EMPLOYEE STOCK OWNERSHIP PLAN","Goody, Clancy And Associates",Boston,MA,2116,2,,1,0,116,56,2866000.0,0.0,105015.0,0.0,105015.0,215818.0,2866000.0,541310,Professional & Technical Services,1987-07-01
2014,42318619,2,TRO JUNG/BRANNEN EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,Tro Jung/Brannen,Boston,MA,2110,2,,1,0,130,114,526260.0,0.0,14490.0,,0.0,226260.0,501416.0,,,2013-10-01
2014,42323460,1,"ECONOCORP, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Econocorp, Inc.",Randolph,MA,2368,2,,1,0,45,31,234523.0,,,,4362.0,-39825.0,,333200,Manufacturing,1991-07-01
2014,42324804,2,TECH-ETCH EMPLOYEE STOCK OWNERSHIP PLAN,Tech-Etch,Plymouth,MA,23604803,2,,1,0,514,445,12617677.0,0.0,320503.0,0.0,497038.0,184598.0,12474453.0,332900,Manufacturing,1999-03-01
2014,42347643,2,ABT ASSOCIATES INC EMPLOYEES STOCK OWNERSHIP PLAN,ABT ASSOCIATES INC,Cambridge,MA,02138,2,2I2O2Q3H3I,1,0,3807,2180,112323474.0,168834.0,6313634.0,,6323378.0,2177760.0,112154640.0,541600,Professional & Technical Services,1975-01-01
2014,42348065,2,JANIS RESEARCH EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,Janis Research,Woburn,MA,1801,2,,1,0,101,80,5243870.0,,235366.0,,235353.0,448015.0,,339900,Manufacturing,1999-01-01
2014,42372206,1,STREM CHEMICALS INC. 401K AND ESOP,Strem Chemicals Inc.,Newburyport,MA,19504019,2,,1,1,65,60,12276802.0,,259318.0,239295.0,541991.0,607688.0,,325100,Manufacturing,2001-01-01
2014,42389826,4,"NEW ENGLAND CONTROLS, INC. EMPLOYEE STOCK OWNERSHIP PLAN","New England Controls, Inc.",Mansfield,MA,2048,2,,1,0,146,111,11730393.0,0.0,844200.0,0.0,200737.0,1087571.0,7297236.0,423990,Wholesale Trade,1986-01-01
2014,42399903,2,"THE BSC COMPANIES, INC. EMPLOYEE STOCK OWNERSHIP PLAN","The Bsc Companies, Inc.",Boston,MA,2127,2,,1,0,49,51,679869.0,0.0,77721.0,0.0,89564.0,95120.0,,541330,Professional & Technical Services,1979-01-01
2014,42444641,1,"NATHAN SALLOP INSURANCE AGENCY, INC. ESOP","Nathan Sallop Insurance Agency, Inc.",Boston,MA,21144721,2,,1,0,25,13,3085125.0,,438841.0,,301807.0,78174.0,,524210,Finance & Insurance,2002-01-01
2014,42445292,2,"FRED C. CHURCH, INC. EMPLOYEES' STOCK OWNERSHIP PLAN AND TRUST","FRED C. CHURCH,INC.",Lowell,MA,01851,2,2O,1,0,140,127,18260414.0,,300000.0,,391184.0,1973740.0,15233838.0,524210,Finance & Insurance,1975-01-01
2014,42453189,2,ARC/ARCHITECTURAL RESOURCES CAMBRIDGE EMPLOYEE STOCK OWNERSHIP PLAN,Arc/Architectural Resources Cambridge,Boston,MA,2116,2,,1,0,64,43,1742214.0,0.0,110000.0,0.0,106450.0,167090.0,,541310,Professional & Technical Services,1999-01-01
2014,42460805,2,"DANAFILMS, INC.","Danafilms, Inc..",Westborough,MA,01581,2,2E2I2O3I,1,0,117,0,1572127.0,84388.0,,,,1344451.0,,326100,Information & Technology,2003-11-01
2014,42471226,2,"AERODYNE RESEARCH, INC. EMPLOYEE STOCK OWNERSHIP PLAN","Aerodyne Research, Inc.",Billerica,MA,18213934,2,,1,0,73,67,5657930.0,0.0,54233.0,0.0,101471.0,805482.0,,541700,Professional & Technical Services,1985-11-26
2014,42472856,2,JAMES MONROE CORP. ESOP,James Monroe Corp.,South Lancaster,MA,1561,2,,1,0,94,75,2384145.0,,184579.0,,391402.0,-646999.0,,339900,Manufacturing,1999-11-01
2014,42482120,3,CONCORD LUMBER CORP. EMPLOYEE STOCK OWNERSHIP PLAN & TRUST,Concord Lumber Corp.,Littleton,MA,1460,2,,1,0,197,103,7692977.0,0.0,364696.0,,364696.0,902363.0,7685495.0,444190,Retail Trade,1996-04-01
2014,42488241,2,ADD INC. EMPLOYEE STOCK OWNERSHIP PLAN,Add Inc.,Boston,MA,2210,2,,1,0,176,157,14740424.0,0.0,0.0,0.0,0.0,9272827.0,0.0,,,1989-01-01
2014,42501424,2,B&B ENGINEERING CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN,B&B Engineering Corporation,Georgetown,MA,1833,2,,1,0,18,18,225000.0,1450000.0,8870.0,,,-1225000.0,,334200,Manufacturing,2014-01-01
2014,42513930,3,F. H. CHASE INC. EMPLOYEE STOCK OWNERSHIP PLAN,F. H. Chase Inc.,Taunton,MA,27801070,2,,1,0,19,13,329312.0,23.0,,,,7324.0,,,,2001-01-01
2014,42514329,3,"CENTRAL COATING CO., INC. EMPLOYEE STOCK OWNERSHIP PLAN","Central Coating Co., Inc.",West Boylston,MA,1583,2,,1,0,48,44,5005994.0,41642.0,548573.0,,539125.0,83392.0,,326100,Manufacturing,2004-01-01
2014,42517090,2,PHYSICAL SCIENCES INC. EMPLOYEE STOCK OWNERSHIP PLAN,Physical Sciences Inc.,Andover,MA,1810,2,,1,0,260,148,29630985.0,0.0,1927225.0,,1504363.0,539232.0,28318054.0,541700,Professional & Technical Services,1988-07-01
2014,42547913,2,ATLANTIC PLYWOOD CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN,Atlantic Plywood Corporation,Woburn,MA,18016208,2,,1,0,203,175,16811550.0,2871675.0,556680.0,,271408.0,4960063.0,16811550.0,423300,Wholesale Trade,2008-01-01
2014,42550058,2,INTERNATIONAL CARS EMPLOYEE STOCK OWNERSHIP PLAN,International Cars,Danvers,MA,1923,2,,1,0,261,174,4040208.0,627046.0,122800.0,,33833.0,547696.0,3933175.0,441110,Retail Trade,2000-01-01
2014,42552515,2,"HARTNEY GREYMONT, INC. EMPLOYEE STOCK OWNERSHIP PL","Hartney Greymont, Inc.",Needham,MA,24922822,2,,1,0,108,44,66150.0,,,,19393.0,-19385.0,,,,1987-01-01
2014,42556035,2,LANDRY'S BICYCLES EMPLOYEE STOCK OWNERSHIP PLAN,Landry'S Bicycles,Natick,MA,1760,2,,1,0,78,59,1049062.0,,,,9525.0,-188048.0,,451110,Retail Trade,2009-10-01
2014,42557451,3,DAVID CLARK COMPANY INCORPORATED EMPLOYEE STOCK OWNERSHIP PLAN,David Clark Company Incorporated,Worcester,MA,16150054,2,,1,0,267,214,80750000.0,5297784.0,1637334.0,,1577334.0,19613510.0,80750000.0,339900,Manufacturing,2007-01-01
